Date,Time,Power (FFT),Power (dBFS),Power (dBm),Tsys (K),Tsys0 (K),Tsource (K),Tb (K),Tsky (K),Sν (Jy),σTsys (K),σSsys (Jy),ΩA (sr),ΩS (sr),RA,Dec,l,b,Az,El,Vbcrs,Vlsr,Solar Flux (Jy),Air Temp (C),Sensor 1,Sensor 2,UTC,Az (Rot),El (Rot),Az Off (Rot),El Off (Rot),
2025-07-24,15:55:40.765,0.0001190948169096373,-39.24106979370117,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,123.73426055908203,55.03573226928711,-24.41301918029785,-20.279605865478516,0,10,0,0,2025-07-24T19:55:40.765Z,325.3699951171875,55.58000183105469,0,0,
2025-07-24,15:55:41.789,0.00011964672739850357,-39.22099304199219,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,123.7393798828125,55.038570404052734,-24.413040161132812,-20.27962875366211,0,10,0,0,2025-07-24T19:55:41.789Z,325.3699951171875,55.58000183105469,0,0,
2025-07-24,15:55:42.817,0.00011959792027482763,-39.22276306152344,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,123.74449920654297,55.04140853881836,-24.413061141967773,-20.279647827148438,0,10,0,0,2025-07-24T19:55:42.817Z,325.3699951171875,55.58000183105469,0,0,
2025-07-24,15:55:43.841,0.00011885580897796899,-39.249794006347656,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,123.74961853027344,55.044246673583984,-24.413082122802734,-20.27967071533203,0,10,0,0,2025-07-24T19:55:43.841Z,325.3699951171875,55.58000183105469,0,0,
2025-07-24,15:55:44.870,0.00011864865518873557,-39.25736999511719,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,123.7547378540039,55.047080993652344,-24.413103103637695,-20.27968978881836,0,10,0,0,2025-07-24T19:55:44.870Z,325.3699951171875,55.58000183105469,0,0,
2025-07-24,15:55:45.900,0.00011878580698976293,-39.25235366821289,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,123.7598648071289,55.04991912841797,-24.413122177124023,-20.279708862304688,0,10,0,0,2025-07-24T19:55:45.900Z,325.3699951171875,55.58000183105469,0,0,
2025-07-24,15:55:46.944,0.00011921084660571069,-39.23684310913086,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,123.76498413085938,55.052757263183594,-24.413145065307617,-20.27973175048828,0,10,0,0,2025-07-24T19:55:46.944Z,325.3699951171875,55.58000183105469,0,0,
2025-07-24,15:55:47.968,0.00011909339809790254,-39.24112319946289,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,123.77011108398438,55.05559158325195,-24.413166046142578,-20.279754638671875,0,10,0,0,2025-07-24T19:55:47.968Z,325.3699951171875,55.58000183105469,0,0,
2025-07-24,15:55:48.997,0.00011908591841347516,-39.24139404296875,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,123.77523040771484,55.05842971801758,-24.41318702697754,-20.279773712158203,0,10,0,0,2025-07-24T19:55:48.997Z,325.3699951171875,55.58000183105469,0,0,
2025-07-24,15:55:50.019,0.00011954008368775249,-39.2248649597168,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,123.78035736083984,55.0612678527832,-24.4132080078125,-20.279796600341797,0,10,0,0,2025-07-24T19:55:50.019Z,325.3699951171875,55.58000183105469,0,0,
2025-07-24,15:55:51.078,0.00011990489292657003,-39.211631774902344,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,123.78547668457031,55.06410217285156,-24.41322898864746,-20.279815673828125,0,10,0,0,2025-07-24T19:55:51.078Z,325.3699951171875,55.58000183105469,0,0,
2025-07-24,15:55:52.087,0.00011945248115807772,-39.22804641723633,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,123.79060363769531,55.06694030761719,-24.413249969482422,-20.27983856201172,0,10,0,0,2025-07-24T19:55:52.087Z,325.3699951171875,55.58000183105469,0,0,
2025-07-24,15:55:53.115,0.00011992170038865879,-39.211021423339844,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,123.79573059082031,55.06977462768555,-24.413270950317383,-20.279857635498047,0,10,0,0,2025-07-24T19:55:53.115Z,325.3699951171875,55.58000183105469,0,0,
2025-07-24,15:55:54.135,0.00011991627252427861,-39.211219787597656,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,123.80085754394531,55.072608947753906,-24.413291931152344,-20.27988052368164,0,10,0,0,2025-07-24T19:55:54.135Z,325.3699951171875,55.58000183105469,0,0,
2025-07-24,15:55:55.164,0.00011929331958526745,-39.23383712768555,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,123.80598449707031,55.07544708251953,-24.413311004638672,-20.27989959716797,0,10,0,0,2025-07-24T19:55:55.164Z,325.3699951171875,55.58000183105469,0,0,
2025-07-24,15:55:56.187,0.00011929228639928624,-39.2338752746582,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,123.81111145019531,55.07828140258789,-24.413333892822266,-20.279922485351562,0,10,0,0,2025-07-24T19:55:56.187Z,325.3699951171875,55.58000183105469,0,0,
2025-07-24,15:55:57.212,0.00011975348024861887,-39.21711730957031,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,123.81623840332031,55.08111572265625,-24.413352966308594,-20.27994155883789,0,10,0,0,2025-07-24T19:55:57.212Z,325.3699951171875,55.58000183105469,0,0,
2025-07-24,15:55:58.245,0.00011988766345893964,-39.21225357055664,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,123.82137298583984,55.08395004272461,-24.413375854492188,-20.279964447021484,0,10,0,0,2025-07-24T19:55:58.245Z,325.3699951171875,55.58000183105469,0,0,
2025-07-24,15:55:59.273,0.00011964957229793072,-39.220890045166016,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,123.82649993896484,55.086788177490234,-24.41339683532715,-20.279983520507812,0,10,0,0,2025-07-24T19:55:59.273Z,325.3699951171875,55.58000183105469,0,0,
2025-07-24,15:56:00.296,0.00011965697922278196,-39.220619201660156,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,123.83162689208984,55.089622497558594,-24.41341781616211,-20.280006408691406,0,10,0,0,2025-07-24T19:56:00.296Z,325.3699951171875,55.58000183105469,0,0,
2025-07-24,15:56:01.320,0.00011970692139584571,-39.218807220458984,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,123.83676147460938,55.09245681762695,-24.41343879699707,-20.280025482177734,0,10,0,0,2025-07-24T19:56:01.320Z,325.3699951171875,55.58000183105469,0,0,
2025-07-24,15:56:02.342,0.00011953850480495021,-39.22492218017578,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,123.8418960571289,55.09529113769531,-24.41345977783203,-20.280048370361328,0,10,0,0,2025-07-24T19:56:02.342Z,325.3699951171875,55.58000183105469,0,0,
2025-07-24,15:56:03.367,0.00011942163109779358,-39.22917175292969,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,123.8470230102539,55.09812545776367,-24.413480758666992,-20.280067443847656,0,10,0,0,2025-07-24T19:56:03.367Z,325.3699951171875,55.58000183105469,0,0,
2025-07-24,15:56:04.391,0.00011909749446203932,-39.24097442626953,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,123.85215759277344,55.10095977783203,-24.41349983215332,-20.280086517333984,0,10,0,0,2025-07-24T19:56:04.391Z,325.3699951171875,55.58000183105469,0,0,
2025-07-24,15:56:05.415,0.00011988658661721274,-39.21229553222656,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,123.85729217529297,55.10379409790039,-24.413522720336914,-20.280109405517578,0,10,0,0,2025-07-24T19:56:05.415Z,325.3699951171875,55.58000183105469,0,0,
2025-07-24,15:56:06.439,0.00011971813364652917,-39.21839904785156,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,123.8624267578125,55.106624603271484,-24.413541793823242,-20.280128479003906,0,10,0,0,2025-07-24T19:56:06.439Z,325.3699951171875,55.58000183105469,0,0,
2025-07-24,15:56:07.463,0.00011938787793042138,-39.23039627075195,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,123.86756134033203,55.109458923339844,-24.413564682006836,-20.2801513671875,0,10,0,0,2025-07-24T19:56:07.463Z,325.3699951171875,55.58000183105469,0,0,
2025-07-24,15:56:08.495,0.00011908123269677162,-39.2415657043457,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,123.8778305053711,55.11512756347656,-24.413606643676758,-20.280193328857422,0,10,0,0,2025-07-24T19:56:08.495Z,325.3699951171875,55.58000183105469,0,0,
2025-07-24,15:56:09.529,0.0001195031072711572,-39.2262077331543,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,123.88297271728516,55.117958068847656,-24.413625717163086,-20.28021240234375,0,10,0,0,2025-07-24T19:56:09.529Z,325.3699951171875,55.58000183105469,0,0,
2025-07-24,15:56:10.550,0.00012001574214082211,-39.207618713378906,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,123.88810729980469,55.120792388916016,-24.41364860534668,-20.280235290527344,0,10,0,0,2025-07-24T19:56:10.550Z,325.3699951171875,55.58000183105469,0,0,
2025-07-24,15:56:11.575,0.00011915260256500915,-39.23896408081055,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,123.89324951171875,55.123626708984375,-24.41366958618164,-20.280258178710938,0,10,0,0,2025-07-24T19:56:11.575Z,325.3699951171875,55.58000183105469,0,0,
2025-07-24,15:56:12.599,0.00011988922051386908,-39.21220016479492,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,123.89838409423828,55.12645721435547,-24.4136905670166,-20.280277252197266,0,10,0,0,2025-07-24T19:56:12.599Z,325.3699951171875,55.58000183105469,0,0,
2025-07-24,15:56:13.624,0.0001200623155455105,-39.2059326171875,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,123.90352630615234,55.12929153442383,-24.413711547851562,-20.28030014038086,0,10,0,0,2025-07-24T19:56:13.624Z,325.3699951171875,55.58000183105469,0,0,
2025-07-24,15:56:14.656,0.00011980249109910801,-39.21533966064453,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,123.9086685180664,55.13212203979492,-24.41373062133789,-20.280319213867188,0,10,0,0,2025-07-24T19:56:14.656Z,325.3699951171875,55.58000183105469,0,0,
2025-07-24,15:56:15.682,0.00011982968135271221,-39.21435546875,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,123.91380310058594,55.134952545166016,-24.413753509521484,-20.28034210205078,0,10,0,0,2025-07-24T19:56:15.682Z,325.3699951171875,55.58000183105469,0,0,
2025-07-24,15:56:16.718,0.00011903772974619642,-39.2431526184082,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,123.9189453125,55.137786865234375,-24.413772583007812,-20.28036117553711,0,10,0,0,2025-07-24T19:56:16.718Z,325.3699951171875,55.58000183105469,0,0,
2025-07-24,15:56:17.745,0.00011905578867299482,-39.242496490478516,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,123.92408752441406,55.14061737060547,-24.413795471191406,-20.280384063720703,0,10,0,0,2025-07-24T19:56:17.745Z,325.3699951171875,55.58000183105469,0,0,
2025-07-24,15:56:18.769,0.0001195585064124316,-39.22419357299805,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,123.92922973632812,55.14344787597656,-24.413814544677734,-20.28040313720703,0,10,0,0,2025-07-24T19:56:18.769Z,325.3699951171875,55.58000183105469,0,0,
2025-07-24,15:56:19.820,0.00011847986752400175,-39.263553619384766,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,123.93437957763672,55.14628219604492,-24.413837432861328,-20.280426025390625,0,10,0,0,2025-07-24T19:56:19.820Z,325.3699951171875,55.58000183105469,0,0,
2025-07-24,15:56:20.835,0.00011915383947780356,-39.23891830444336,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,123.93952178955078,55.149112701416016,-24.413856506347656,-20.280445098876953,0,10,0,0,2025-07-24T19:56:20.835Z,325.3699951171875,55.58000183105469,0,0,
2025-07-24,15:56:21.879,0.00011961849668296054,-39.222015380859375,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,123.94466400146484,55.15194320678711,-24.41387939453125,-20.280467987060547,0,10,0,0,2025-07-24T19:56:21.879Z,325.3699951171875,55.58000183105469,0,0,
