Date,Time,Power (FFT),Power (dBFS),Power (dBm),Tsys (K),Tsys0 (K),Tsource (K),Tb (K),Tsky (K),Sν (Jy),σTsys (K),σSsys (Jy),ΩA (sr),ΩS (sr),RA,Dec,l,b,Az,El,Vbcrs,Vlsr,Solar Flux (Jy),Air Temp (C),Sensor 1,Sensor 2,UTC,Az (Rot),El (Rot),Az Off (Rot),El Off (Rot),Unnamed: 32,X (Rot),Y (Rot),X (Target),Y (Target),X_offset,Y_offset,HA (target),HA (Rot),Dec (Target),Dec (Rot),HA_offset,DEC_offset,DEC (Rot),HA (Target),DEC (Target)
2025-07-07,13:47:49.317,0.000444075471023,-33.52543258666992,,,,,,40.74350357055664,,,,,,23.38999938964844,58.814998626708984,111.80281829833984,-2.129568099975586,333.2189025878906,16.078540802001953,16.338886260986328,26.469263076782227,0,10,0,0,2025-07-07T17:47:49.317Z,331.1600036621094,18.200000762939453,0.0099999997764825,0.0,,-55.72,56.32,-57.39,59.07,1.67,-2.75,,28.043478927889698,,,1.9,-2.22,-12.92296884459379,26.14393096773727,-10.706126810952265
2025-07-07,13:47:50.341,0.0004434886213857,-33.53117370605469,,,,,,40.74350357055664,,,,,,23.38999938964844,58.814998626708984,111.80281829833984,-2.129568099975586,333.2204895019531,16.077022552490234,16.338895797729492,26.46927261352539,0,10,0,0,2025-07-07T17:47:50.341Z,331.1600036621094,18.200000762939453,0.0099999997764825,0.0,,-55.72,56.32,-57.39,59.07,1.67,-2.75,,28.043478927889698,,,1.9,-2.22,-12.92296884459379,26.1424549589657,-10.70453721812331
2025-07-07,13:47:51.365,0.0004440138873178,-33.52603530883789,,,,,,40.74350357055664,,,,,,23.38999938964844,58.814998626708984,111.80281829833984,-2.129568099975586,333.2220764160156,16.075504302978516,16.338903427124023,26.46928024291992,0,10,0,0,2025-07-07T17:47:51.365Z,331.04998779296875,18.190000534057617,-0.1000000014901161,-0.0099999997764825,,-55.83,56.23,-57.4,59.08,1.57,-2.85,,28.15109653940416,,,2.01,-2.22,-12.918398108575243,26.140978941430024,-10.7029476289205
2025-07-07,13:47:52.389,0.0004440518678165,-33.52566146850586,,,,,,40.74350357055664,,,,,,23.38999938964844,58.814998626708984,111.80281829833984,-2.129568099975586,333.2236633300781,16.073986053466797,16.338911056518555,26.469287872314453,0,10,0,0,2025-07-07T17:47:52.389Z,331.04998779296875,18.190000534057617,-0.1000000014901161,-0.0099999997764825,,-55.83,56.23,-57.4,59.08,1.57,-2.85,,28.15109653940416,,,2.01,-2.22,-12.918398108575243,26.139502915130414,-10.701358043343888
2025-07-07,13:47:53.413,0.0004413361602928,-33.552303314208984,,,,,,40.74350357055664,,,,,,23.38999938964844,58.814998626708984,111.80281829833984,-2.129568099975586,333.2252502441406,16.072467803955078,16.33892059326172,26.469297409057617,0,10,0,0,2025-07-07T17:47:53.413Z,331.04998779296875,18.190000534057617,-0.0900000035762786,-0.1099999994039535,,-55.83,56.23,-57.4,59.08,1.57,-2.85,,28.15109653940416,,,2.01,-2.22,-12.918398108575243,26.13802688006686,-10.699768461393596
2025-07-07,13:47:54.437,0.0004424187645781,-33.541664123535156,,,,,,40.74350357055664,,,,,,23.38999938964844,58.814998626708984,111.80281829833984,-2.129568099975586,333.2268371582031,16.07094955444336,16.33892822265625,26.46930503845215,0,10,0,0,2025-07-07T17:47:54.437Z,331.05999755859375,18.09000015258789,-0.0900000035762786,-0.1099999994039535,,-55.98,56.29,-57.4,59.08,1.42,-2.79,,28.14667525990744,,,2.01,-2.12,-12.818038847301612,26.13655083623948,-10.698178883069673
2025-07-07,13:47:55.461,0.0004384926578495,-33.58037567138672,,,,,,40.74350357055664,,,,,,23.38999938964844,58.814998626708984,111.80281829833984,-2.129568099975586,333.2284240722656,16.06943130493164,16.33893585205078,26.46931266784668,0,10,0,0,2025-07-07T17:47:55.461Z,331.05999755859375,18.09000015258789,0.0099999997764825,-0.1000000014901161,,-55.98,56.29,-57.4,59.08,1.42,-2.79,,28.14667525990744,,,2.01,-2.12,-12.818038847301612,26.135074783648463,-10.696589308372255
2025-07-07,13:47:56.485,0.0004445952945388,-33.52035140991211,,,,,,40.74350357055664,,,,,,23.38999938964844,58.814998626708984,111.80281829833984,-2.129568099975586,333.2300109863281,16.067913055419922,16.338945388793945,26.469322204589844,0,10,0,0,2025-07-07T17:47:56.485Z,331.1600036621094,18.100000381469727,0.0099999997764825,-0.1000000014901161,,-55.88,56.37,-57.4,59.09,1.52,-2.72,,28.048784380077652,,,1.92,-2.13,-12.823102305533125,26.13359872229374,-10.694999737301382
2025-07-07,13:47:57.509,0.0004436170274857,-33.5299186706543,,,,,,40.74350357055664,,,,,,23.38999938964844,58.814998626708984,111.80281829833984,-2.129568099975586,333.2315979003906,16.066396713256836,16.338953018188477,26.469329833984375,0,10,0,0,2025-07-07T17:47:57.509Z,331.1600036621094,18.100000381469727,0.1099999994039535,-0.1000000014901161,,-55.88,56.37,-57.4,59.09,1.52,-2.72,,28.048784380077652,,,1.92,-2.13,-12.823102305533125,26.132122559179344,-10.693412075015502
2025-07-07,13:47:58.533,0.000442494318122,-33.540924072265625,,,,,,40.74350357055664,,,,,,23.38999938964844,58.814998626708984,111.80281829833984,-2.129568099975586,333.2331848144531,16.064878463745117,16.338960647583008,26.469337463378903,0,10,0,0,2025-07-07T17:47:58.533Z,331.260009765625,18.100000381469727,0.1099999994039535,0.0,,-55.79,56.45,-57.4,59.09,1.61,-2.64,,27.951426593172016,,,1.82,-2.13,-12.818194675525566,26.130646480303675,-10.691822511198271
